date,category,region,sales,profit
2025-02-12,Electronics,North,16597,1985.32
2025-02-12,Clothing,East,32812,3397.98
2025-02-12,Clothing,West,9671,2232.44
2025-02-12,Clothing,North,38423,7456.1
2025-02-12,Groceries,East,16925,4166.17
2025-02-12,Groceries,West,27677,2701.34
2025-02-12,Groceries,North,7352,1578.81
2025-02-13,Electronics,East,24219,3775.61
2025-02-13,Electronics,West,31606,8405.91
2025-02-13,Electronics,North,4550,993.45
2025-02-13,Clothing,East,43348,3233.95
2025-02-13,Clothing,West,27386,6355.01
2025-02-13,Clothing,North,8161,915.37
2025-02-13,Groceries,East,13465,2478.52
2025-02-13,Groceries,West,10186,1583.62
2025-02-13,Groceries,North,19254,3189.56
2025-02-14,Electronics,East,5940,955.05
2025-02-14,Electronics,West,37066,2760.57
2025-02-14,Electronics,North,43738,13113.55
2025-02-14,Clothing,East,1967,574.85
2025-02-14,Clothing,West,16491,1510.21
2025-02-14,Clothing,North,32826,5591.57
2025-02-14,Groceries,East,27282,7519.21
2025-02-14,Groceries,West,11789,1706.38
2025-02-14,Groceries,North,26586,3091.97
2025-02-15,Electronics,East,30819,3738.72
2025-02-15,Electronics,West,46651,13497.51
2025-02-15,Electronics,North,37422,8063.24
2025-02-15,Clothing,East,32894,2917.67
2025-02-15,Clothing,West,20445,2134.97
2025-02-15,Clothing,North,4832,941.25
2025-02-15,Groceries,East,36533,2383.39
2025-02-15,Groceries,West,21552,1385.61
2025-02-15,Groceries,North,39284,6646.74
2025-02-16,Electronics,East,35807,3199.65
2025-02-16,Electronics,West,34281,2400.63
2025-02-16,Electronics,North,13178,884.64
2025-02-16,Clothing,East,5453,1193.13
2025-02-16,Clothing,West,16414,2477.59
2025-02-16,Clothing,North,38334,4276.3
2025-02-16,Groceries,East,39962,2395.14
2025-02-16,Groceries,West,6372,986.43
2025-02-16,Groceries,North,39251,7508.98
2025-02-17,Electronics,East,21733,6165.14
2025-02-17,Electronics,West,14386,3127.97
2025-02-17,Electronics,North,21590,2367.81
2025-02-17,Clothing,East,26938,2228.3
2025-02-17,Clothing,West,43303,5412.84
2025-02-17,Clothing,North,21720,6130.57
2025-02-17,Groceries,East,5754,301.1
2025-02-17,Groceries,West,41708,12496.28
2025-02-17,Groceries,North,7552,515.92
2025-02-18,Electronics,East,14969,2641.6
2025-02-18,Electronics,West,9680,2742.49
2025-02-18,Electronics,North,5508,1486.16
2025-02-18,Clothing,East,25217,3057.48
2025-02-18,Clothing,West,29716,7679.69
2025-02-18,Clothing,North,47107,5918.02
2025-02-18,Groceries,East,43858,7992.47
2025-02-18,Groceries,West,44769,11383.68
2025-02-18,Groceries,North,20620,5834.2
2025-02-19,Electronics,East,7788,2217.5
2025-02-19,Electronics,West,9800,1137.94
2025-02-19,Electronics,North,8014,1888.13
2025-02-19,Clothing,East,11187,1321.04
2025-02-19,Clothing,West,40638,4171.79
2025-02-19,Clothing,North,23471,2368.21
2025-02-19,Groceries,East,42565,11204.31
2025-02-19,Groceries,West,34122,5873.52
2025-02-19,Groceries,North,4329,316.34
2025-02-20,Electronics,East,28759,7400.76
2025-02-20,Electronics,West,3889,197.9
2025-02-20,Electronics,North,9573,2003.42
2025-02-20,Clothing,East,18167,1642.21
2025-02-20,Clothing,West,29956,5629.33
2025-02-20,Clothing,North,29028,5521.9
2025-02-20,Groceries,East,8331,573.26
2025-02-20,Groceries,West,46286,12774.11
2025-02-20,Groceries,North,36755,2168.8
2025-02-21,Electronics,East,25196,4929.03
2025-02-21,Electronics,West,10705,1685.47
2025-02-21,Electronics,North,3741,475.35
2025-02-21,Clothing,East,3614,992.88
2025-02-21,Clothing,West,14767,3256.37
2025-02-21,Clothing,North,44708,3384.32
2025-02-21,Groceries,East,37692,10215.8
2025-02-21,Groceries,West,27632,8108.87
2025-02-21,Groceries,North,11128,3131.87
2025-02-22,Electronics,East,16514,4395.22
2025-02-22,Electronics,West,12603,3407.27
2025-02-22,Electronics,North,2624,248.86
2025-02-22,Clothing,East,22770,5592.24
2025-02-22,Clothing,West,27982,7011.14
2025-02-22,Clothing,North,49172,12425.14
2025-02-22,Groceries,East,18485,1659.94
2025-02-22,Groceries,West,46958,3616.89
2025-02-22,Groceries,North,3537,936.06
2025-02-23,Electronics,East,15577,1556.04
2025-02-23,Electronics,West,31166,4282.66
2025-02-23,Electronics,North,15915,1682.71
2025-02-23,Clothing,East,44255,4349.49
2025-02-23,Clothing,West,22512,2693.58
2025-02-23,Clothing,North,5549,1618.77
2025-02-23,Groceries,East,19292,2658.18
2025-02-23,Groceries,West,34384,5154.84
2025-02-23,Groceries,North,36141,4799.07
2025-02-24,Electronics,East,2808,221.37
2025-02-24,Electronics,West,18118,1714.72
2025-02-24,Electronics,North,18397,1095.8
2025-02-24,Clothing,East,40096,6360.87
2025-02-24,Clothing,West,48745,12020.86
2025-02-24,Clothing,North,29599,5965.74
2025-02-24,Groceries,East,34516,2723.71
2025-02-24,Groceries,West,38787,3782.5
2025-02-24,Groceries,North,3908,887.88
2025-02-25,Electronics,East,1110,199.78
2025-02-25,Electronics,West,36287,8045.35
2025-02-25,Electronics,North,49624,11624.89
2025-02-25,Clothing,East,13912,1962.36
2025-02-25,Clothing,West,5585,1604.12
2025-02-25,Clothing,North,22639,4658.85
2025-02-25,Groceries,East,44475,11652.62
2025-02-25,Groceries,West,48169,13247.04
2025-02-25,Groceries,North,34234,4358.71
2025-02-26,Electronics,East,27764,3652.24
2025-02-26,Electronics,West,46692,5785.78
2025-02-26,Electronics,North,9341,915.04
2025-02-26,Clothing,East,44576,12708.21
2025-02-26,Clothing,West,45388,10758.48
2025-02-26,Clothing,North,12405,2529.12
2025-02-26,Groceries,East,20723,3139.92
2025-02-26,Groceries,West,1026,129.24
2025-02-26,Groceries,North,14774,2326.49
2025-02-27,Electronics,East,39009,7866.77
2025-02-27,Electronics,West,22118,3677.05
2025-02-27,Electronics,North,29977,6562.17
2025-02-27,Clothing,East,34500,5806.23
2025-02-27,Clothing,West,49231,4550.07
2025-02-27,Clothing,North,6557,793.05
2025-02-27,Groceries,East,44506,9267.72
2025-02-27,Groceries,West,22966,1684.48
2025-02-27,Groceries,North,16392,3576.72
2025-02-28,Electronics,East,15722,3956.3
2025-02-28,Electronics,West,10656,597.87
2025-02-28,Electronics,North,17046,5045.34
2025-02-28,Clothing,East,41060,10775.56
2025-02-28,Clothing,West,5772,945.77
2025-02-28,Clothing,North,42272,8197.29
2025-02-28,Groceries,East,48077,10773.51
2025-02-28,Groceries,West,33399,5006.95
2025-02-28,Groceries,North,10671,2283.75
2025-03-01,Electronics,East,1363,372.32
2025-03-01,Electronics,West,7985,1953.17
2025-03-01,Electronics,North,15341,1441.62
2025-03-01,Clothing,East,46607,8365.46
2025-03-01,Clothing,West,4291,812.51
2025-03-01,Clothing,North,8953,1469.33
2025-03-01,Groceries,East,31450,6821.33
2025-03-01,Groceries,West,37629,7483.02
2025-03-01,Groceries,North,30004,6095.71
2025-03-02,Electronics,East,48138,13141.92
2025-03-02,Electronics,West,28966,7462.87
2025-03-02,Electronics,North,36905,5959.36
2025-03-02,Clothing,East,11430,2696.5
2025-03-02,Clothing,West,32108,5218.11
2025-03-02,Clothing,North,17203,4472.19
2025-03-02,Groceries,East,19173,4629.39
2025-03-02,Groceries,West,35163,6018.12
2025-03-02,Groceries,North,16679,1978.95
2025-03-03,Electronics,East,6077,1387.9
2025-03-03,Electronics,West,16367,1930.14
2025-03-03,Electronics,North,21952,5998.53
2025-03-03,Clothing,East,6280,531.25
2025-03-03,Clothing,West,16155,2354.73
2025-03-03,Clothing,North,11014,2495.83
2025-03-03,Groceries,East,5209,800.71
2025-03-03,Groceries,West,22684,4211.35
2025-03-03,Groceries,North,28248,1852.12
2025-03-04,Electronics,East,28534,4205.03
2025-03-04,Electronics,West,39278,11253.76
2025-03-04,Electronics,North,2280,602.34
2025-03-04,Clothing,East,38728,5619.25
2025-03-04,Clothing,West,1386,395.96
2025-03-04,Clothing,North,20569,4903.01
2025-03-04,Groceries,East,28460,5252.44
2025-03-04,Groceries,West,49144,9166.98
2025-03-04,Groceries,North,40534,11124.67
2025-03-05,Electronics,East,32996,3459.81
2025-03-05,Electronics,West,29562,5067.24
2025-03-05,Electronics,North,26484,3549.71
2025-03-05,Clothing,East,45508,11355.87
2025-03-05,Clothing,West,48459,4422.43
2025-03-05,Clothing,North,31630,8852.78
2025-03-05,Groceries,East,41780,7667.92
2025-03-05,Groceries,West,26822,5310.04
2025-03-05,Groceries,North,44450,2523.67
2025-03-06,Electronics,East,43123,6776.92
2025-03-06,Electronics,West,31257,2982.93
2025-03-06,Electronics,North,18049,2613.06
2025-03-06,Clothing,East,14871,2434.01
2025-03-06,Clothing,West,23118,5555.43
2025-03-06,Clothing,North,25846,3090.26
2025-03-06,Groceries,East,28627,3236.79
2025-03-06,Groceries,West,6367,1066.96
2025-03-06,Groceries,North,36351,2290.89
2025-03-07,Electronics,East,23935,2538.44
2025-03-07,Electronics,West,5496,1348.21
2025-03-07,Electronics,North,43713,2625.6
2025-03-07,Clothing,East,3033,871.69
2025-03-07,Clothing,West,14065,3654.19
2025-03-07,Clothing,North,41719,3675.26
2025-03-07,Groceries,East,9272,1561.31
2025-03-07,Groceries,West,8496,1622.67
2025-03-07,Groceries,North,15284,2541.09
2025-03-08,Electronics,East,17793,4301.0
2025-03-08,Electronics,West,11996,2416.87
2025-03-08,Electronics,North,48078,3780.53
2025-03-08,Clothing,East,11732,3416.13
2025-03-08,Clothing,West,8084,1573.72
2025-03-08,Clothing,North,21444,4159.05
2025-03-08,Groceries,East,25596,3817.99
2025-03-08,Groceries,West,47859,4765.92
2025-03-08,Groceries,North,39803,8862.28
2025-03-09,Electronics,East,42106,4661.65
2025-03-09,Electronics,West,46691,11351.53
2025-03-09,Electronics,North,45843,9173.32
2025-03-09,Clothing,East,8933,2224.82
2025-03-09,Clothing,West,38088,9356.65
2025-03-09,Clothing,North,23754,4351.41
2025-03-09,Groceries,East,44353,6326.63
2025-03-09,Groceries,West,34158,7237.6
2025-03-09,Groceries,North,1829,479.92
2025-03-10,Electronics,East,33125,2530.24
2025-03-10,Electronics,West,24736,5167.26
2025-03-10,Electronics,North,31129,7060.9
2025-03-10,Clothing,East,29540,2777.77
2025-03-10,Clothing,West,35193,10254.13
2025-03-10,Clothing,North,18700,3814.39
2025-03-10,Groceries,East,36269,8837.32
2025-03-10,Groceries,West,31465,4999.59
2025-03-10,Groceries,North,48908,9689.59
2025-03-11,Electronics,East,22122,5816.5
2025-03-11,Electronics,West,6679,799.69
2025-03-11,Electronics,North,30543,3389.23
2025-03-11,Clothing,East,31455,6053.91
2025-03-11,Clothing,West,44790,6483.23
2025-03-11,Clothing,North,2880,499.9
2025-03-11,Groceries,East,22300,2128.76
2025-03-11,Groceries,West,14901,2066.86
2025-03-11,Groceries,North,17931,2422.2
2025-03-12,Electronics,East,40069,9027.38
2025-03-12,Electronics,West,19105,3609.85
2025-03-12,Electronics,North,34857,10004.5
2025-03-12,Clothing,East,6610,729.34
2025-03-12,Clothing,West,27635,4757.21
2025-03-12,Clothing,North,16749,3729.2
2025-03-12,Groceries,East,43329,9877.3
2025-03-12,Groceries,West,30371,7539.09
2025-03-12,Groceries,North,7098,877.02
2025-03-13,Electronics,East,27502,6131.48
2025-03-13,Electronics,West,21067,4550.26
2025-03-13,Electronics,North,25184,4238.85
2025-03-13,Clothing,East,35794,4865.81
2025-03-13,Clothing,West,49885,9358.28
2025-03-13,Clothing,North,24056,5429.77
2025-03-13,Groceries,East,18754,2375.3
2025-03-13,Groceries,West,16108,1291.28
2025-03-13,Groceries,North,13621,1755.57
2025-03-14,Electronics,East,49685,9140.35
2025-03-14,Electronics,West,46230,4451.37
2025-03-14,Electronics,North,15180,3562.0
2025-03-14,Clothing,East,19120,4419.52
2025-03-14,Clothing,West,35382,7048.01
2025-03-14,Clothing,North,7588,1958.9
2025-03-14,Groceries,East,20414,2181.66
2025-03-14,Groceries,West,12759,1602.11
2025-03-14,Groceries,North,47400,8699.5
2025-03-15,Electronics,East,18977,1164.79
2025-03-15,Electronics,West,4573,861.28
2025-03-15,Electronics,North,46705,13358.68
2025-03-15,Clothing,East,42803,11433.34
2025-03-15,Clothing,West,33170,2509.21
2025-03-15,Clothing,North,1803,348.91
2025-03-15,Groceries,East,31762,5389.33
2025-03-15,Groceries,West,23328,2241.61
2025-03-15,Groceries,North,4367,493.99
2025-03-16,Electronics,East,32308,2536.88
2025-03-16,Electronics,West,5282,793.23
2025-03-16,Electronics,North,5855,1137.36
2025-03-16,Clothing,East,45987,2915.68
2025-03-16,Clothing,West,10777,2724.27
2025-03-16,Clothing,North,20912,1490.93
2025-03-16,Groceries,East,17265,1374.52
2025-03-16,Groceries,West,28274,5699.46
2025-03-16,Groceries,North,41528,4419.48
2025-03-17,Electronics,East,35247,5114.15
2025-03-17,Electronics,West,30014,3731.89
2025-03-17,Electronics,North,39569,11772.09
2025-03-17,Clothing,East,21013,4037.8
2025-03-17,Clothing,West,4947,1001.31
2025-03-17,Clothing,North,49502,3703.17
2025-03-17,Groceries,East,14617,3016.64
2025-03-17,Groceries,West,18343,3945.71
2025-03-17,Groceries,North,11292,1241.74
2025-03-18,Electronics,East,37175,2556.38
2025-03-18,Electronics,West,1175,178.75
2025-03-18,Electronics,North,46178,9164.15
2025-03-18,Clothing,East,20087,1168.26
2025-03-18,Clothing,West,19881,4507.8
2025-03-18,Clothing,North,47070,12468.92
2025-03-18,Groceries,East,5664,1256.54
2025-03-18,Groceries,West,18337,4528.45
2025-03-18,Groceries,North,41963,8285.49
2025-03-19,Electronics,East,13964,2182.36
2025-03-19,Electronics,West,36688,3896.35
2025-03-19,Electronics,North,10764,2982.74
2025-03-19,Clothing,East,10321,700.31
2025-03-19,Clothing,West,11873,2946.37
2025-03-19,Clothing,North,39996,9488.63
2025-03-19,Groceries,East,38303,10736.26
2025-03-19,Groceries,West,29780,2414.81
2025-03-19,Groceries,North,46133,5813.81
2025-03-20,Electronics,East,27378,7821.05
2025-03-20,Electronics,West,33798,6252.47
2025-03-20,Electronics,North,29688,2081.44
2025-03-20,Clothing,East,3612,983.75
2025-03-20,Clothing,West,49138,6416.46
2025-03-20,Clothing,North,17408,982.96
2025-03-20,Groceries,East,16002,4648.23
2025-03-20,Groceries,West,38696,7614.63
2025-03-20,Groceries,North,2359,707.45
2025-03-21,Electronics,East,45058,11505.8
2025-03-21,Electronics,West,38764,2328.09
2025-03-21,Electronics,North,12481,2092.13
2025-03-21,Clothing,East,43697,7015.87
2025-03-21,Clothing,West,19229,1833.91
2025-03-21,Clothing,North,39360,6257.11
2025-03-21,Groceries,East,33225,9710.47
2025-03-21,Groceries,West,31802,4356.56
2025-03-21,Groceries,North,22843,2975.63
2025-03-22,Electronics,East,7855,2077.12
2025-03-22,Electronics,West,22614,3457.94
2025-03-22,Electronics,North,33471,4085.28
2025-03-22,Clothing,East,27244,6903.4
2025-03-22,Clothing,West,37051,2192.47
2025-03-22,Clothing,North,6771,870.95
2025-03-22,Groceries,East,22186,1752.26
2025-03-22,Groceries,West,27488,7318.07
2025-03-22,Groceries,North,1075,230.5
2025-03-23,Electronics,East,36559,6050.3
2025-03-23,Electronics,West,4552,441.07
2025-03-23,Electronics,North,24709,5081.62
2025-03-23,Clothing,East,33669,6947.67
2025-03-23,Clothing,West,4382,442.1
2025-03-23,Clothing,North,36993,3061.29
2025-03-23,Groceries,East,19876,3170.8
2025-03-23,Groceries,West,46760,8004.28
2025-03-23,Groceries,North,2891,847.89
2025-03-24,Electronics,East,40903,10218.73
2025-03-24,Electronics,West,47516,4257.17
2025-03-24,Electronics,North,37099,1981.78
2025-03-24,Clothing,East,27738,2033.26
2025-03-24,Clothing,West,8435,1394.83
2025-03-24,Clothing,North,8698,1843.34
2025-03-24,Groceries,East,11090,1936.25
2025-03-24,Groceries,West,47963,5897.79
2025-03-24,Groceries,North,47229,5589.85
2025-03-25,Electronics,East,32621,9625.19
2025-03-25,Electronics,West,16973,2786.91
2025-03-25,Electronics,North,10479,1528.85
2025-03-25,Clothing,East,40280,7131.99
2025-03-25,Clothing,West,9946,2645.7
2025-03-25,Clothing,North,19104,4645.5
2025-03-25,Groceries,East,28193,3805.18
2025-03-25,Groceries,West,34275,4003.09
2025-03-25,Groceries,North,1168,140.99
2025-03-26,Electronics,East,20566,5334.18
2025-03-26,Electronics,West,39005,11690.8
2025-03-26,Electronics,North,33089,8812.1
2025-03-26,Clothing,East,30264,5588.1
2025-03-26,Clothing,West,23618,3143.79
2025-03-26,Clothing,North,36614,5283.49
2025-03-26,Groceries,East,22088,5906.34
2025-03-26,Groceries,West,46711,5124.26
2025-03-26,Groceries,North,26098,2828.78
2025-03-27,Electronics,East,27920,1700.66
2025-03-27,Electronics,West,49804,8379.23
2025-03-27,Electronics,North,25984,3807.17
2025-03-27,Clothing,East,44495,11039.14
2025-03-27,Clothing,West,43730,12909.29
2025-03-27,Clothing,North,33461,9744.05
2025-03-27,Groceries,East,9273,1628.09
2025-03-27,Groceries,West,39678,5277.12
2025-03-27,Groceries,North,7577,2034.79
2025-03-28,Electronics,East,29855,2236.97
2025-03-28,Electronics,West,30945,1665.98
2025-03-28,Electronics,North,10447,1593.11
2025-03-28,Clothing,East,43911,12843.49
2025-03-28,Clothing,West,5903,988.0
2025-03-28,Clothing,North,18368,2473.07
2025-03-28,Groceries,East,46397,6930.36
2025-03-28,Groceries,West,6263,1646.8
2025-03-28,Groceries,North,45194,11968.98
2025-03-29,Electronics,East,25904,7474.21
2025-03-29,Electronics,West,42077,9664.22
2025-03-29,Electronics,North,32978,8841.26
2025-03-29,Clothing,East,3352,685.03
2025-03-29,Clothing,West,16385,3404.64
2025-03-29,Clothing,North,19833,5937.14
2025-03-29,Groceries,East,49940,3625.39
2025-03-29,Groceries,West,7451,1788.93
2025-03-29,Groceries,North,47130,12637.66
2025-03-30,Electronics,East,30076,2754.7
2025-03-30,Electronics,West,20625,5689.53
2025-03-30,Electronics,North,4014,526.21
2025-03-30,Clothing,East,4677,576.87
2025-03-30,Clothing,West,25565,4030.88
2025-03-30,Clothing,North,17003,3108.01
2025-03-30,Groceries,East,38088,8396.5
2025-03-30,Groceries,West,12800,1183.95
2025-03-30,Groceries,North,6175,1249.65
2025-03-31,Electronics,East,26070,5342.46
2025-03-31,Electronics,West,16783,2927.24
2025-03-31,Electronics,North,39217,3364.01
2025-03-31,Clothing,East,31221,6540.06
2025-03-31,Clothing,West,31118,3542.21
2025-03-31,Clothing,North,1615,443.68
2025-03-31,Groceries,East,31490,8669.27
2025-03-31,Groceries,West,45407,8475.2
2025-03-31,Groceries,North,5840,936.93
2025-04-01,Electronics,East,23646,7020.8
2025-04-01,Electronics,West,20605,4321.58
2025-04-01,Electronics,North,28807,6411.82
2025-04-01,Clothing,East,30939,8085.16
2025-04-01,Clothing,West,14055,4214.3
2025-04-01,Clothing,North,32667,2504.36
2025-04-01,Groceries,East,25993,5016.15
2025-04-01,Groceries,West,38670,4793.85
2025-04-01,Groceries,North,46827,5797.54
2025-04-02,Electronics,East,44137,6574.27
2025-04-02,Electronics,West,1530,292.97
2025-04-02,Electronics,North,45944,11236.89
2025-04-02,Clothing,East,4214,1170.03
2025-04-02,Clothing,West,49835,8680.35
2025-04-02,Clothing,North,19756,4819.18
2025-04-02,Groceries,East,16081,3244.6
2025-04-02,Groceries,West,24089,2523.35
2025-04-02,Groceries,North,13460,2762.3
2025-04-03,Electronics,East,45417,10849.86
2025-04-03,Electronics,West,44200,9733.45
2025-04-03,Electronics,North,9963,2062.96
2025-04-03,Clothing,East,42121,8912.18
2025-04-03,Clothing,West,21246,5251.0
2025-04-03,Clothing,North,3186,620.93
2025-04-03,Groceries,East,48995,4059.38
2025-04-03,Groceries,West,20340,2678.37
2025-04-03,Groceries,North,28230,2651.08
2025-04-04,Electronics,East,9661,2382.68
2025-04-04,Electronics,West,24976,4563.44
2025-04-04,Electronics,North,18860,4858.68
2025-04-04,Clothing,East,17840,4968.66
2025-04-04,Clothing,West,32578,9507.76
2025-04-04,Clothing,North,20342,4813.73
2025-04-04,Groceries,East,23198,5824.05
2025-04-04,Groceries,West,31692,9213.6
2025-04-04,Groceries,North,10224,2438.81
2025-04-05,Electronics,East,15785,4183.58
2025-04-05,Electronics,West,48462,10593.87
2025-04-05,Electronics,North,27044,7891.91
2025-04-05,Clothing,East,37524,5307.54
2025-04-05,Clothing,West,26858,1436.36
2025-04-05,Clothing,North,36164,2925.57
2025-04-05,Groceries,East,25155,5489.0
2025-04-05,Groceries,West,45062,5206.48
2025-04-05,Groceries,North,25970,6638.04
2025-04-06,Electronics,East,25344,1953.68
2025-04-06,Electronics,West,16323,2740.13
2025-04-06,Electronics,North,41602,11276.58
2025-04-06,Clothing,East,37792,4988.6
2025-04-06,Clothing,West,40982,4317.12
2025-04-06,Clothing,North,5142,1073.91
2025-04-06,Groceries,East,31426,8715.9
2025-04-06,Groceries,West,20804,4416.89
2025-04-06,Groceries,North,8646,734.43
2025-04-07,Electronics,East,3438,433.5
2025-04-07,Electronics,West,33284,2630.44
2025-04-07,Electronics,North,16387,4454.23
2025-04-07,Clothing,East,9890,1455.43
2025-04-07,Clothing,West,25314,5508.87
2025-04-07,Clothing,North,49702,11139.26
2025-04-07,Groceries,East,36402,5634.36
2025-04-07,Groceries,West,49645,11500.25
2025-04-07,Groceries,North,28189,6024.85
2025-04-08,Electronics,East,33069,6743.2
2025-04-08,Electronics,West,19333,1124.78
2025-04-08,Electronics,North,25283,2637.46
2025-04-08,Clothing,East,30143,8670.3
2025-04-08,Clothing,West,24768,1853.6
2025-04-08,Clothing,North,45936,6515.27
2025-04-08,Groceries,East,43259,6041.92
2025-04-08,Groceries,West,27092,3223.14
2025-04-08,Groceries,North,9005,2586.71
2025-04-09,Electronics,East,30800,2245.89
2025-04-09,Electronics,West,14900,3135.35
2025-04-09,Electronics,North,40134,11750.16
2025-04-09,Clothing,East,4314,1064.26
2025-04-09,Clothing,West,16962,5041.2
2025-04-09,Clothing,North,38000,3849.45
2025-04-09,Groceries,East,37320,3798.78
2025-04-09,Groceries,West,15152,3837.44
2025-04-09,Groceries,North,16269,2149.78
2025-04-10,Electronics,East,10670,2637.21
2025-04-10,Electronics,West,40058,2031.3
2025-04-10,Electronics,North,10482,3111.92
2025-04-10,Clothing,East,36403,4101.29
2025-04-10,Clothing,West,12435,963.48
2025-04-10,Clothing,North,2689,223.05
2025-04-10,Groceries,East,24477,6057.96
2025-04-10,Groceries,West,16593,3272.36
2025-04-10,Groceries,North,2034,190.3
2025-04-11,Electronics,East,4434,362.21
2025-04-11,Electronics,West,28588,5189.33
2025-04-11,Electronics,North,49867,3285.71
2025-04-11,Clothing,East,30378,7427.55
2025-04-11,Clothing,West,34635,6872.16
2025-04-11,Clothing,North,30622,5388.24
2025-04-11,Groceries,East,41311,2513.41
2025-04-11,Groceries,West,44181,7968.61
2025-04-11,Groceries,North,31018,6539.69
2025-04-12,Electronics,East,3041,198.29
2025-04-12,Electronics,West,32390,8480.5
2025-04-12,Electronics,North,28936,6410.03
2025-04-12,Clothing,East,33130,7556.96
2025-04-12,Clothing,West,30069,2055.9
2025-04-12,Clothing,North,6294,821.54
2025-04-12,Groceries,East,10721,712.09
2025-04-12,Groceries,West,19023,3920.25
